q274.0,485.0;
q273.0,494.0;
q271.0,510.0;
q269.0,529.0;
q267.0,551.0;
q265.0,571.0;
q263.0,588.0;
q261.0,602.0;
q259.0,613.0;
q258.0,623.0;
q258.0,631.0;
q258.0,639.0;
q259.0,645.0;
q262.0,651.0;
q267.0,658.0;
q280.0,668.0;
q304.0,678.0;
q327.0,685.0;
q345.0,689.0;
q363.0,691.0;
q382.0,691.0;
q400.0,692.0;
q416.0,692.0;
q436.0,693.0;
q456.0,693.0;
q471.0,695.0;
q481.0,695.0;
q486.0,695.0;
q490.0,695.0;
q502.0,691.0;
l502.0,691.0;
q712.0,666.0;
q708.0,670.0;
q704.0,674.0;
q700.0,678.0;
q698.0,682.0;
l698.0,682.0;
